date,source,source_file,cycle_idx,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,107,5.2875,15.8787,9.7142,15.8787,2.3210,1,8.524,9.325
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,108,14.3116,27.4038,4.9533,27.4038,5.1810,1,19.072,20.718
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,109,4.9533,26.1479,0.5255,26.1479,9.0750,1,4.440,8.527
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,110,0.5255,14.2813,4.9978,14.2813,7.7550,1,2.948,7.567
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,111,4.9978,12.1229,3.4171,12.1229,3.5530,1,7.908,8.349
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,112,3.4171,17.6419,6.2356,17.6419,9.0530,1,5.204,6.086
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,113,6.2356,11.3441,2.5390,11.3441,1.4410,1,5.572,8.840
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,114,2.5390,6.7231,1.1502,6.7231,3.0140,1,4.917,12.758
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,115,1.1502,11.3512,2.0139,11.3512,5.0050,1,2.312,6.091
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,116,2.0139,14.0701,2.2743,14.0701,6.6770,1,3.971,5.141
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,117,1.6643,6.2748,0.7423,6.2748,3.0690,1,2.992,6.999
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,118,0.6672,9.0564,3.2306,9.0564,9.1190,1,1.227,5.965
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,119,1.4762,13.4702,1.5624,13.4702,5.3680,1,3.073,7.760
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,120,1.5624,15.6225,0.6587,15.6225,8.2390,1,2.668,4.740
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,121,0.6587,11.7709,3.1561,11.7709,4.8950,1,0.657,8.974
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,122,3.8112,14.8242,4.2766,14.8242,1.8370,1,4.522,8.531
